2800685,SEM POP CULT      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TH,  ,  ,  ,  ,  ,  ,1300-1600,CART1,AR   ,PYN,PSC                      ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2800686,CULT MED HYBRID   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,M05  ,SNK,SSB                      ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2800686,CULT MED HYBRID   ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,SU,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,M05  ,SSB,PAC,SNK                  ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2800704,COMM RSRCH II     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,707  ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2800717,SEM ISSUE TREND PR,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,CART1,AR   ,KAJ,RPC                      ,PH.D. ONLY          ,                    ,                    ,15 ,16/01/2559 20:00
2800720,SEM ADV THEO RES  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,MO,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,707  ,SAC                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2800721,SEM APP COMM      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,WE,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,707  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2800739,SEL TOP IMG MED I ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1800-2000,CART1,CEDM1,SBM,NWD                      ,COMM ARTS X-HRS     ,                    ,                    ,20 ,16/01/2559 20:00
2800739,SEL TOP IMG MED I ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,2000-2100,CART1,CEDM1,SBM,NWD                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800739,SEL TOP IMG MED I ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CART1,CEDM1,SBM,NWD                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800743,CREAT PROD TV DRAM,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1300-1500,MKSW ,312  ,PYN,MSW                      ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2800743,CREAT PROD TV DRAM,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,SA,  ,  ,  ,  ,  ,  ,1500-1700,MKSW ,312  ,PYN,MSW                      ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2800772,INDL STUD III     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDVS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,PH.D.ONLY           ,                    ,                    ,5  ,16/01/2559 20:00
2800772,INDL STUD III     ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDVS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,PH.D ONLY           ,                    ,                    ,5  ,16/01/2559 20:00
2800782,SELECT COMM III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MKSW ,705  ,KGP                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2800782,SELECT COMM III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MKSW ,705  ,PRS                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2800784,SELECT APPL COM   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MKSW ,706  ,PRS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2800784,SELECT APPL COM   ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MKSW ,705  ,KKT                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2800790,PROF PROJ I       ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,COMM ARTS X-HRS     ,                    ,                    ,100,16/01/2559 20:00
2800791,PROF PROJ II      ,3  ,2800790                                                                         ,          ,         ,          ,TDF      ,6  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,COMM ARTS X-HRS     ,                    ,                    ,100,16/01/2559 20:00
2800796,INDIVIDUAL STUDY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2800796,INDIVIDUAL STUDY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,COMM ARTS X-HRS     ,                    ,                    ,5  ,16/01/2559 20:00
2800811,THESIS            ,12 ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,COMM ARTS           ,                    ,                    ,100,16/01/2559 20:00
2800828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,PH.D.ONLY           ,                    ,                    ,30 ,16/01/2559 20:00
2800894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,MKSW ,707  ,SAC                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2800896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,COM ARTS X-HRS      ,                    ,                    ,100,16/01/2559 20:00
2800897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2801310,INFO/COMM THEO    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1500,PINIT,1210 ,DCS                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2801313,JR WRIT           ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,CART1,JR   ,PNW                          ,3RD JR MAJOR        ,                    ,                    ,7  ,16/01/2559 20:00
2801313,JR WRIT           ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1500-1700,CART1,JR   ,PNW                          ,                    ,                    ,                    ,7  ,16/01/2559 20:00
2801315,READ SEL WK JR    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1000-1200,CART1,JR   ,PNW                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2801316,ETH LAW JR/INFO   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1200,MKSW ,M06  ,PRS                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2801317,COMP ASS RPT      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1400,MKSW ,301  ,NKJ                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2801317,COMP ASS RPT      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,TH,  ,  ,  ,  ,  ,  ,1400-1600,MKSW ,301  ,NKJ                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
