2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,2  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,0800-1000,COM3 ,204  ,NKP                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,3  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,COM1 ,224  ,VSN                          ,BUS ADMIN           ,                    ,                    ,60 ,16/01/2559 20:00
2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,3  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,1300-1500,COM1 ,224  ,VSN                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,4  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,COM1 ,226  ,JPL                          ,BUS ADMIN           ,                    ,                    ,60 ,16/01/2559 20:00
2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,4  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,1300-1500,COM1 ,226  ,JPL                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,5  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,COM1 ,317  ,NTG                          ,STAT,BUSED          ,                    ,                    ,60 ,16/01/2559 20:00
2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,5  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,1400-1600,COM2 ,215  ,NTG                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601118,COST/MGT ACCTG    ,3  ,2601117 OR 2601112                                                              ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,WKB12,1221 ,SPH                          ,SAR ONLY            ,                    ,                    ,45 ,16/01/2559 20:00
2601207,ACCTG PROCD/CTRL  ,3  ,2601115                                                                         ,02/03/2559,0830-1030,16/05/2559,1300-1600,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,COM8 ,606  ,KCK                          ,STAT                ,                    ,                    ,40 ,16/01/2559 20:00
2601208,ACCTG LAW         ,2  ,                                                                                ,01/03/2559,1300-1500,16/05/2559,0900-1100,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,PINIT,907  ,STAFF                        ,LAW                 ,                    ,                    ,60 ,16/01/2559 20:00
