5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,14 ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,ENG3 ,205  ,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,140,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,THEB ,606  ,STAFF                        ,LAW                 ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,140,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,141,L/P  ,MO,  ,  ,  ,  ,  ,  ,0900-1200,BRK  ,608  ,STAFF                        ,FINE ARTS           ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,141,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,142,L/P  ,MO,  ,  ,  ,  ,  ,  ,0900-1200,BRK  ,609  ,STAFF                        ,FINE ARTS           ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,142,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,143,L/P  ,MO,  ,  ,  ,  ,  ,  ,0900-1200,BRK  ,610  ,STAFF                        ,FINE ARTS           ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,143,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,144,L/P  ,MO,  ,  ,  ,  ,  ,  ,0900-1200,BRK  ,611  ,STAFF                        ,FINE ARTS           ,                    ,                    ,28 ,16/01/2559 20:00
