2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,4  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,CWK,PSY,WPD                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,4  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,     ,AR   ,WPD                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,5  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,CWK,PSY,WPD                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,5  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,     ,AR   ,SSS                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,6  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,CWK,PSY,WPD                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,6  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,     ,AR   ,SMM                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,7  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,CWK,PSY,WPD                  ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,7  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,     ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,8  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,PSY,CWK,WPD                  ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,8  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,     ,AR   ,PCM                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,9  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,PSY,CWK,WPD                  ,                    ,                    ,                    ,20 ,16/01/2559 20:00
