2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,7  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,WIA                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,8  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,ATS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,9  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,AMN                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716792,SEM SEC ED        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-0900,EDU3 ,AR   ,KBN                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2716792,SEM SEC ED        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,TU,  ,  ,  ,  ,  ,  ,0900-1000,EDU3 ,AR   ,KBN                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2716792,SEM SEC ED        ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1100,EDU3 ,AR   ,KBN                          ,TEFL                ,                    ,                    ,10 ,16/01/2559 20:00
2716792,SEM SEC ED        ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,DISC ,TU,  ,  ,  ,  ,  ,  ,1100-1200,EDU3 ,AR   ,KBN                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU4 ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2716826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,10 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU4 ,IA   ,ONT                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,11 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU4 ,IA   ,CBP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,12 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU4 ,IA   ,SJD                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
